Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SJH,SJD,SJA
E0,20-09-2008,Liverpool,Stoke,0,0,D,0,0,D,A Marriner,27,3,11,2,8,10,20,3,1,1,0,0,1.2,6.5,15,1.2,5.25,12.5,1.22,5.75,12,1.2,5.2,11,1.2,6,15,1.2,5.5,12,1.22,6,13
E0,20-09-2008,Sunderland,Middlesbrough,2,0,H,0,0,D,H Webb,17,14,11,11,9,16,8,7,2,3,0,0,2.38,3.1,3.2,2.2,3.15,3.05,2.3,3.25,3,2.25,3,3,2.37,3.25,3,2.25,3.2,2.9,2.38,3.25,3
E0,20-09-2008,West Ham,Newcastle,3,1,H,2,0,H,P Dowd,12,11,6,8,8,21,2,6,1,2,0,0,2.1,3.3,3.6,2,3.2,3.5,2.1,3.2,3.5,2,3.2,3.3,2,3.4,3.75,2,3.25,3.4,2,3.4,3.75
E0,21-09-2008,Chelsea,Man United,1,1,D,0,1,A,M Riley,20,13,13,8,15,18,7,4,1,7,0,0,2.2,3.1,3.6,2.15,3.05,3.3,2.2,3.1,3.5,2.1,3,3.3,2.25,3.25,3.25,2.2,3.1,3.1,2.2,3.1,3.5
E0,21-09-2008,Hull,Everton,2,2,D,1,0,H,L Mason,9,17,5,8,11,12,4,6,0,1,0,0,3.1,3.4,2.3,2.9,3.2,2.25,3,3.25,2.3,2.6,3.2,2.4,3.3,3.3,2.2,2.8,3.2,2.3,3,3.25,2.38
E0,21-09-2008,Man City,Portsmouth,6,0,H,2,0,H,A Wiley,14,10,10,4,13,14,8,5,0,1,0,0,2,3.3,4,1.85,3.35,3.8,2,3.25,3.75,1.9,3.2,3.6,2.1,3.3,3.5,1.95,3.25,3.6,2.05,3.25,3.75
E0,21-09-2008,Tottenham,Wigan,0,0,D,0,0,D,S Tanner,11,14,4,6,13,12,3,4,2,2,0,0,1.73,3.6,5,1.6,3.45,5.35,1.75,3.3,5,1.6,3.6,4.8,1.72,3.5,5,1.7,3.4,4.5,1.73,3.5,5.2
E0,21-09-2008,West Brom,Aston Villa,1,2,A,1,2,A,M Dean,10,10,6,5,22,16,5,6,3,3,0,0,3.25,3.3,2.25,2.85,3.2,2.3,3.1,3.2,2.25,2.8,3.1,2.3,3.3,3.3,2.2,2.75,3.2,2.35,3.25,3.25,2.25
E0,27-09-2008,Arsenal,Hull,1,2,A,0,0,D,A Wiley,18,7,9,5,8,7,15,4,2,1,0,0,1.2,6,17,1.2,5.5,12,1.22,5.5,13,1.2,5.2,11,1.2,6,15,1.2,5.5,12,1.22,5.5,17
E0,27-09-2008,Aston Villa,Sunderland,2,1,H,2,1,H,P Walton,12,9,8,3,8,9,5,5,1,1,0,0,1.57,3.75,6.5,1.6,3.45,5.25,1.67,3.6,5,1.65,3.4,4.7,1.62,3.6,6,1.55,3.5,5.75,1.57,3.75,6.5
E0,27-09-2008,Everton,Liverpool,0,2,A,0,0,D,M Riley,4,11,2,6,17,20,7,4,3,3,1,0,3.75,3.25,2.1,3.5,3.15,2,3.5,3.2,2.1,3.4,3.1,2,3.4,3.2,2.2,3.2,3.2,2.1,3.4,3.2,2.2
E0,27-09-2008,Fulham,West Ham,1,2,A,0,2,A,A Marriner,18,16,6,10,15,13,2,4,4,1,1,0,2.3,3.25,3.2,2.28,3.1,2.95,2.25,3.2,3.1,2.2,3.1,3,2.25,3.25,3.25,2.25,3.2,2.9,2.3,3.25,3.2
E0,27-09-2008,Man United,Bolton,2,0,H,0,0,D,R Styles,31,10,24,5,8,10,16,4,0,3,0,0,1.22,6,15,1.22,5.25,11,1.22,5.5,13,1.25,4.8,9.5,1.22,6,13,1.2,5.5,12,1.22,5.5,15
E0,27-09-2008,Middlesbrough,West Brom,0,1,A,0,0,D,C Foy,22,14,13,9,14,13,11,8,2,4,0,0,1.8,3.4,5,1.65,3.4,5,1.73,3.3,5,1.75,3.3,4.2,1.73,3.5,5,1.7,3.4,4.5,1.8,3.25,5
